SMILES,label_0,label_1,label_2,label_3,label_4
CSCC=C,0.5,0.5,0.0,0.36,0.7927
Oc1ccc(cc1)Cc1ccccc1,1.44,1.38,0.55,0.5,1.5238
O=C1CCC2=C3C=CC4(C(C3CCC2=C1)CCC4O)C,1.63,2.39,0.32,1.35,2.1558
Nc1ccc(cc1)Cc1ccc(cc1)N,1.76,3.1,0.47,0.75,1.6647
c1ccc(cc1)Cc1ccccc1,1.22,1.04,0.0,0.33,1.4651
c1ccc(cc1)Cc1ccccn1,1.22,0.81,0.0,0.74,1.424
C1CCC(CC1)NC1CCCCC1,0.59,0.42,0.02,0.56,1.682
CCCOc1ccccn1,0.64,0.68,0.0,0.52,1.1567
Cc1ccccc1C(=O)c1ccccc1C,1.45,1.5,0.0,0.63,1.7626
CCOC(=O)Cc1ccccc1,0.66,1.01,0.0,0.57,1.3544
CCOC(=O)Nc1ccccc1,0.94,1.34,0.36,0.55,1.3133
O=C(Cc1ccccc1)Cc1ccccc1,1.32,1.05,0.0,0.94,1.7626
O=C(Nc1ccccc1)Nc1ccccc1,1.72,1.8,0.85,0.75,1.6804
CC1=C[C@@H]2[C@H](CC1)C(=CC[C@H]2C(C)C)C,0.8,0.25,0.0,0.36,1.9189
S=C(Nc1ccccc1)Nc1ccccc1,2.1,1.7,0.33,1.19,1.7852
O=C(Oc1ccccc1)Oc1ccccc1,1.28,1.53,0.0,0.59,1.5982
CCc1cc(CC)cc(c1)CC,0.67,0.5,0.0,0.19,1.5618
CCNc1cccc(c1)C,0.94,0.9,0.17,0.47,1.2389
CC#CCCO,0.44,0.78,0.37,0.6,0.7858
OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,4.0,3.62,2.5,4.08,3.8907
COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,2.74,3.85,0.85,2.01,3.5583
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,2.22,1.11,0.0,0.53,1.9557
Clc1cc2[nH]c(nc2cc1Cl)C(C(F)(F)F)(F)F,1.2,1.18,0.3,0.4,1.5204
C1=CC(C=C1)[Fe]C1C=CC=C1,1.35,0.85,0.0,0.2,1.1209
CNCCCC12CCC(c3c1cccc3)c1c2cccc1,1.9,1.43,0.08,1.05,2.334
CCC1CCC(=O)C1,0.34,0.85,0.0,0.5,1.002
CCCN(CCC)CCC,0.07,0.14,0.0,0.83,1.4765
OCCN(CCO)CCO,0.57,0.98,1.12,1.59,1.2299
CC(=O)OC(COC(=O)C)COC(=O)C,0.14,1.32,0.0,1.33,1.5999
CCCCN(CCCC)CCO,0.4,0.59,0.24,0.96,1.6761
CCCCN(CCCC)CCCC,0.05,0.15,0.0,0.79,1.8992
CCCCCCN(CCCCCC)CCCCCC,0.01,0.15,0.0,0.8,2.7446
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,-0.03,0.15,0.0,0.83,5.2808
NC(=O)CCc1ccccc1,0.94,1.65,0.52,0.8,1.2546
O=N(=O)C=Cc1ccccc1,1.22,1.3,0.01,0.46,1.1294
CC(=O)c1ccc(cc1)S(=O)(=O)C,0.83,2.05,0.0,1.05,1.4357
CCCCC(COC(=O)C)CC,0.03,0.57,0.0,0.47,1.592
ClC1=C(Cl)C2(C(C1(Cl)C1C2COS(=O)(=O)OC1)(Cl)Cl)Cl,2.16,1.57,0.0,1.19,2.1406
